tg_exp,tg_cal
438.0,379.69190583544923
403.0,379.242981292517
220.0,217.18958673469388
401.0,391.9095986394558
390.0,418.30145458760785
376.5,423.99370918367345
219.5,241.8878044217687
277.0,292.757881014445
289.0,337.29450707385604
250.5,322.407768707483
221.0,216.6318985606348
215.5,228.43907482993197
244.5,224.24664171745624
271.0,265.74625697865287
280.5,388.2029081632653
208.0,263.99981278759503
230.0,222.45916693545607
253.0,237.62730272108843
311.0,200.63183020619968
313.0,256.00893308843405
380.5,314.15972338766153
390.5,354.92722309070183
202.0,192.94041548369887
230.0,247.3639744897959
215.0,223.25344693560083
236.5,280.0754726004361
223.0,218.4466797949277
381.5,396.39289795918364
196.0,216.65635376915884
225.0,203.4523707482993
218.0,233.81414574786714
200.5,296.02231802721093
302.0,298.5394829931973
323.0,357.2472057823129
268.0,344.8645714285714
232.0,237.14992316755735
225.5,222.0140053774419
248.5,285.14182312925175
230.5,261.70429081632653
337.0,480.943156462585
384.0,318.52978061224496
330.0,362.59418920826414
324.0,353.71618726226745
315.0,331.01521801441055
330.0,304.77535958977
313.0,292.49195442447126
353.0,274.5903180272109
324.0,350.5135039827052
332.0,310.9945802295547
323.0,360.34004580130943
319.0,328.6082192184375
323.0,297.05708243106085
320.0,268.663202949372
316.0,361.57165885651216
265.0,228.1964557823129
171.0,158.15805023786538
178.0,198.22450198927538
197.0,192.62468197278912
204.0,213.284787414966
373.0,401.27862293156574
284.0,387.90657499206577
268.0,209.41217070502978
434.5,439.7059608843538
422.0,419.5189030612245
374.0,345.02469217687076
359.0,327.3343137864341
322.0,248.74806366049984
372.0,390.3627602040816
353.0,326.1124693877551
410.0,302.2224793521046
386.0,403.3179212014946
376.0,359.3113659632944
462.0,484.1472801171886
472.0,465.90083843537417
297.0,296.24416581112484
214.0,235.92437318274494
238.0,273.9006105442177
313.0,362.074869047619
244.0,230.7060493197279
269.5,318.823712585034
207.0,231.5187278911565
364.0,335.43448054840763
324.0,415.4470034013605
394.5,385.83119232455965
297.0,354.6081955782313
344.5,448.38075170068026
213.0,194.7128988310336
220.0,251.5929081632653
276.0,305.8723758503401
221.0,294.47006462585034
332.0,323.94879882688315
232.0,220.2955136690198
326.0,316.5028526409458
214.5,280.23203401360547
194.0,217.04182142857144
215.5,176.591967499641
204.0,187.33746514415384
211.0,253.15441156214703
188.5,202.43133843537413
209.0,215.22842687074834
189.0,212.63964795918366
205.5,188.93067017707546
189.5,197.78098469387757
196.0,192.8059863945578
431.0,461.1349913971485
437.0,445.7731392333513
420.0,455.0276513605442
291.0,234.0199879792802
312.0,253.57340203117712
259.0,291.5809574829932
367.5,364.57118537414965
349.0,323.124913555251
373.0,534.7477108843538
306.0,321.31718265331745
285.0,260.7723860544218
255.0,242.05483163265305
487.0,427.01083591786494
433.0,476.5841564625851
293.5,230.26921157952455
369.5,340.1644142280621
211.0,273.8699463836736
218.0,243.32680531853944
331.0,388.31038605442177
267.0,260.1060409719134
326.5,396.2191034159397
341.5,447.1452329931973
363.0,435.3766581632653
312.0,196.3495726719657
240.5,267.9531964066086
